Filename	Subclonality
GM20509Bx01PE20502	clone2
GM20509Bx01PE20503	clone2
GM20509Bx01PE20506	clone2
GM20509Bx01PE20508	clone2
GM20509Bx01PE20509	clone2
GM20509Bx01PE20510	clone2
GM20509Bx01PE20511	clone2
GM20509Bx01PE20514	clone2
GM20509Bx01PE20517	clone2
GM20509Bx01PE20518	clone2
GM20509Bx01PE20519	clone2
GM20509Bx01PE20520	clone2
GM20509Bx01PE20525	clone2
GM20509Bx01PE20526	clone2
GM20509Bx01PE20529	clone2
GM20509Bx01PE20530	clone2
GM20509Bx01PE20531	clone2
GM20509Bx01PE20533	clone2
GM20509Bx01PE20535	clone2
GM20509Bx01PE20536	clone2
GM20509Bx01PE20539	clone2
GM20509Bx01PE20541	clone2
GM20509Bx01PE20542	clone1
GM20509Bx01PE20544	clone1
GM20509Bx01PE20545	clone2
GM20509Bx01PE20546	clone2
GM20509Bx01PE20547	clone2
GM20509Bx01PE20548	clone1
GM20509Bx01PE20549	clone1
GM20509Bx01PE20550	clone1
GM20509Bx01PE20552	clone2
GM20509Bx01PE20555	clone2
GM20509Bx01PE20556	clone2
GM20509Bx01PE20557	clone2
GM20509Bx01PE20560	clone2
GM20509Bx01PE20561	clone2
GM20509Bx01PE20562	clone2
GM20509Bx01PE20565	clone2
GM20509Bx01PE20566	clone2
GM20509Bx01PE20568	clone2
GM20509Bx01PE20569	clone2
GM20509Bx01PE20576	clone2
GM20509Bx01PE20579	clone1
GM20509Bx01PE20581	clone2
GM20509Bx01PE20587	clone2
GM20509Bx01PE20588	clone2
GM20509Bx01PE20589	clone1
