Filename	Subclonality
TALL3x1_DEA5_PE20406	clone2
TALL3x1_DEA5_PE20414	clone2
TALL3x1_DEA5_PE20415	clone1
TALL3x1_DEA5_PE20416	clone1
TALL3x1_DEA5_PE20417	clone1
TALL3x1_DEA5_PE20418	clone1
TALL3x1_DEA5_PE20419	clone1
TALL3x1_DEA5_PE20421	clone1
TALL3x1_DEA5_PE20422	clone1
TALL3x1_DEA5_PE20424	clone2
TALL3x1_DEA5_PE20427	clone1
TALL3x1_DEA5_PE20430	clone1
TALL3x1_DEA5_PE20433	clone1
TALL3x1_DEA5_PE20435	clone2
TALL3x1_DEA5_PE20438	clone1
TALL3x1_DEA5_PE20439	clone1
TALL3x1_DEA5_PE20442	clone2
TALL3x1_DEA5_PE20444	clone1
TALL3x1_DEA5_PE20447	clone2
TALL3x1_DEA5_PE20448	clone2
TALL3x1_DEA5_PE20449	clone1
TALL3x1_DEA5_PE20451	clone1
TALL3x1_DEA5_PE20452	clone1
TALL3x1_DEA5_PE20453	clone2
TALL3x1_DEA5_PE20455	clone1
TALL3x1_DEA5_PE20457	clone1
TALL3x1_DEA5_PE20458	clone2
TALL3x1_DEA5_PE20461	clone1
TALL3x1_DEA5_PE20463	clone1
TALL3x1_DEA5_PE20466	clone1
TALL3x1_DEA5_PE20469	clone1
TALL3x1_DEA5_PE20471	clone2
TALL3x1_DEA5_PE20474	clone2
TALL3x1_DEA5_PE20475	clone1
TALL3x1_DEA5_PE20481	clone1
TALL3x1_DEA5_PE20485	clone1
TALL3x1_DEA5_PE20487	clone1
TALL3x1_DEA5_PE20488	clone1
TALL3x1_DEA5_PE20494	clone2
TALL3x1_DEA5_PE20495	clone2
TALL3x2_DEA5_PE20402	clone1
TALL3x2_DEA5_PE20408	clone1
TALL3x2_DEA5_PE20410	clone2
TALL3x2_DEA5_PE20411	clone1
TALL3x2_DEA5_PE20412	clone1
TALL3x2_DEA5_PE20414	clone1
TALL3x2_DEA5_PE20416	clone1
TALL3x2_DEA5_PE20418	clone1
TALL3x2_DEA5_PE20420	clone2
TALL3x2_DEA5_PE20423	clone1
TALL3x2_DEA5_PE20428	clone1
TALL3x2_DEA5_PE20431	clone1
TALL3x2_DEA5_PE20435	clone2
TALL3x2_DEA5_PE20436	clone2
TALL3x2_DEA5_PE20440	clone1
TALL3x2_DEA5_PE20441	clone1
TALL3x2_DEA5_PE20442	clone1
TALL3x2_DEA5_PE20444	clone1
TALL3x2_DEA5_PE20445	clone1
TALL3x2_DEA5_PE20446	clone2
TALL3x2_DEA5_PE20448	clone2
TALL3x2_DEA5_PE20453	clone1
TALL3x2_DEA5_PE20454	clone2
TALL3x2_DEA5_PE20456	clone2
TALL3x2_DEA5_PE20457	clone1
TALL3x2_DEA5_PE20461	clone1
TALL3x2_DEA5_PE20462	clone1
TALL3x2_DEA5_PE20463	clone1
TALL3x2_DEA5_PE20466	clone1
TALL3x2_DEA5_PE20471	clone1
TALL3x2_DEA5_PE20474	clone2
TALL3x2_DEA5_PE20477	clone1
TALL3x2_DEA5_PE20479	clone1
TALL3x2_DEA5_PE20482	clone2
TALL3x2_DEA5_PE20485	clone1
TALL3x2_DEA5_PE20486	clone1
TALL3x2_DEA5_PE20495	clone1
