LCL_HG00512	LCL_HG00513	LCL_HG00514	LCL_HG00731	LCL_HG00732	LCL_HG00733	LCL_NA19238	LCL_NA19239	LCL_NA19240	RPE1_WT_Re1	RPE1_WT_Re2	RPE1_BM510_Re1	RPE1_BM510_Re2	RPE1_C7_Re1	RPE1_C7_Re2
ENSG00000186092	0	0	0	0.0527516	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0.00632246	0.00718297	0.0127119	0	0.0124453	0.0232133	0.00648216	0.0114654	0.0287385	0.766376	0.916317	0.572158	0.277376	2.21455	0.532154
ENSG00000188976	19.9829	22.5984	19.1815	19.0242	17.1544	18.3886	17.8548	24.5223	19.4436	15.4674	16.8668	18.5369	28.2536	12.0476	36.3436
ENSG00000187961	2.047	2.61801	3.02661	2.37494	2.10305	3.70511	2.52213	3.53303	1.91125	4.9209	4.83899	3.16058	4.81014	3.48146	4.61465
ENSG00000187583	0.193664	0.154831	0.18748	0.256403	0.14825	0.689982	0.419174	0.578829	0.179319	2.20511	2.49241	1.23129	3.66173	1.29524	3.54988
ENSG00000187642	0.0415428	0.0202273	0.0357969	0.0212146	0.023364	0.0217896	0.0425922	0	0	0	0.0103629	0.0276838	0.0236695	0.0215412	0.0399613
ENSG00000188290	0.163581	0.330391	0.054816	0.173259	0.0536662	0.800798	0.4286	0.725133	0.0206542	14.6558	18.4395	1.20394	17.1802	1.13802	6.45585
ENSG00000187608	51.7285	121.484	55.4508	71.2252	54.3938	316.52	166.647	330.124	66.3816	7.80648	8.55044	2.67664	7.39895	2.77959	7.40785
ENSG00000188157	3.55484	6.94642	3.11985	4.27407	2.46323	8.31101	6.72185	15.8097	3.09087	85.0596	96.1734	26.5495	58.3462	60.1324	77.7269
ENSG00000237330	0.0106837	0.10924	0.0859226	0.0381908	0.231331	0.0627614	0.0547678	0	0.121406	0	0	0	0	0	0
ENSG00000131591	0.819629	1.5118	1.25373	0.735351	0.847815	1.46808	1.55544	2.15376	0.916789	1.93677	1.87459	1.00157	2.80745	0.816671	2.94346
ENSG00000162571	0	0.00585495	0	0	0	0	0.00528371	0	0.0058563	0	0	0	0	0	0
ENSG00000186891	1.92821	0.505534	1.47619	0.547885	0.788305	0.544581	0.51704	1.35834	1.26413	0	0	0	0.0295782	0.0134593	0.0249685
ENSG00000186827	1.62941	0.482916	0.866503	0.281383	0.38349	0.468194	0.653701	1.22048	0.83188	0.062227	0.0206173	0.0220312	0.0706371	0	0.0198761
ENSG00000078808	19.0949	17.3746	18.4933	17.5491	17.583	19.1233	18.2013	20.3344	16.6087	26.161	26.1616	28.1651	27.9241	20.7221	27.5747
ENSG00000176022	4.39775	3.21725	4.14153	5.08324	3.24804	3.97084	6.36189	5.62635	4.1493	13.5874	15.3838	7.04521	13.5122	5.39167	10.1623
ENSG00000184163	0.113269	0.180159	0.227738	0.0269933	0.133776	0.191302	0.0580649	0.184866	0.1802	0.278576	0.514239	0.0317022	0.383989	0.0616698	0.209741
ENSG00000160087	7.48214	6.7808	7.64319	6.26392	6.12042	7.15043	7.0831	8.43044	6.36091	11.4547	11.8451	6.48962	15.17	4.51198	14.9473
ENSG00000162572	0.282718	0.424439	0.522756	0.27672	0.546573	0.522717	0.63148	0.384521	0.372904	0.984455	1.45456	0.720635	1.04703	1.72711	0.620397
ENSG00000169972	3.26563	3.35764	3.25832	2.90867	3.18193	3.05145	2.56968	4.3379	2.77394	4.79027	5.14631	2.16313	7.52159	1.68168	10.2524
ENSG00000131584	1.38637	2.35342	2.52076	2.92733	2.97871	3.30648	2.03867	3.4386	1.86902	8.11695	9.80007	4.82932	10.2306	3.42243	6.53149
ENSG00000127054	9.42351	10.664	10.229	8.68073	9.29908	11.3309	10.6551	12.225	9.25341	7.6867	7.95118	6.42077	9.29742	6.51206	12.401
ENSG00000224051	5.00059	3.27865	4.12398	2.51982	3.65407	4.71114	4.34442	5.44964	2.80963	8.91043	9.37037	3.56017	11.3196	2.58986	10.3718
ENSG00000169962	0.236765	0.228641	0.243971	0.275067	0.291284	0.234711	0.236677	0.150276	0.114347	0.0519918	0.1447	0.044178	0.106233	0.0805677	0.0597848
ENSG00000107404	4.39547	4.61842	4.84725	3.36468	3.86463	5.91149	5.13468	7.6666	3.97167	25.2054	28.7748	11.7157	39.6297	9.13261	43.8572
ENSG00000162576	0.179528	0	0.02256	0.0200549	0.126999	0.0164788	0.0287599	0.137348	0.0127506	52.1863	54.8695	47.6878	37.3113	40.5338	23.8938
ENSG00000175756	25.1661	25.3546	21.7867	19.1499	18.0823	24.6308	20.9335	32.4341	19.9369	25.0247	29.2959	16.0841	47.466	7.74471	50.7671
ENSG00000221978	16.4165	22.2368	25.5456	21.4029	21.0419	22.2015	22.6798	22.0266	19.7103	28.9437	31.7892	26.0041	18.4864	36.7089	17.1983
ENSG00000224870	8.88463	9.49957	9.43333	8.84133	8.84734	8.60426	10.5695	8.23833	8.47751	3.80303	3.56932	4.57242	4.9108	3.99456	4.83637
ENSG00000242485	20.6775	23.1357	21.4979	18.2292	16.5922	15.8153	19.8847	22.443	21.261	11.1523	11.836	15.4968	17.3106	8.62439	22.3915
ENSG00000235098	0.138338	0.122241	0.16225	0.0915771	0.113462	0.0790096	0.0866757	0.0209058	0.017467	0	0	0	0	0	0
ENSG00000205116	0	0	0	0.0492134	0.0406496	0	0	0	0	0	0	0	0	0	0
ENSG00000179403	0.581728	0.879686	0.471883	0.726628	0.651517	1.06645	0.999523	2.20081	0.0638262	0.0916226	0.0980759	0	0	0.112856	0.00675357
ENSG00000215915	0.153323	0.110321	1.78797	0.121796	0.402406	0.555429	0.162436	0.250238	0.116154	0	0	0.00476808	0	0	0.00860333
