chr	str	end	name	length	CpG%	GC%
chr1	69091	70008	ENSG00000186092	917	0.012009	0.428571
chr1	450740	451678	ENSG00000278566	938	0.008538	0.460554
chr1	685716	686654	ENSG00000273547	938	0.008538	0.460554
chr1	924880	944581	ENSG00000187634	19701	0.05269	0.659916
chr1	944204	959309	ENSG00000188976	15105	0.030191	0.595432
chr1	960587	965715	ENSG00000187961	5128	0.072362	0.678822
chr1	966497	975865	ENSG00000187583	9368	0.038433	0.626494
chr1	975204	982093	ENSG00000187642	6889	0.053426	0.677602
chr1	998962	1000172	ENSG00000188290	1210	0.128205	0.743802
chr1	1001138	1014541	ENSG00000187608	13403	0.035965	0.564277
chr1	1020123	1056118	ENSG00000188157	35995	0.047147	0.657091
chr1	1070966	1074307	ENSG00000237330	3341	0.042814	0.654594
chr1	1081818	1116361	ENSG00000131591	34543	0.032945	0.546507
chr1	1173884	1197935	ENSG00000162571	24051	0.030187	0.547545
chr1	1203508	1206691	ENSG00000186891	3183	0.045883	0.674835
chr1	1211326	1214138	ENSG00000186827	2812	0.044112	0.704125
chr1	1216908	1232031	ENSG00000078808	15123	0.05039	0.613569
chr1	1232265	1235041	ENSG00000176022	2776	0.09045	0.64013
chr1	1242446	1246722	ENSG00000184163	4276	0.050058	0.693405
chr1	1253909	1273885	ENSG00000160087	19976	0.035645	0.563376
chr1	1280436	1292029	ENSG00000162572	11593	0.051242	0.659277
chr1	1308567	1311677	ENSG00000169972	3110	0.061435	0.667524
chr1	1292376	1309609	ENSG00000131584	17233	0.056291	0.672953
chr1	1311585	1324691	ENSG00000127054	13106	0.036398	0.604532
chr1	1324756	1328897	ENSG00000224051	4141	0.047826	0.652499
chr1	1331314	1335306	ENSG00000169962	3992	0.052117	0.667585
chr1	1335276	1349350	ENSG00000107404	14074	0.046614	0.662498
chr1	1352689	1361777	ENSG00000162576	9088	0.04545	0.653059
chr1	1373730	1375495	ENSG00000175756	1765	0.086168	0.669122
chr1	1385711	1399328	ENSG00000221978	13617	0.029744	0.51377
chr1	1399522	1402046	ENSG00000224870	2524	0.040032	0.593502
chr1	1401908	1407313	ENSG00000242485	5405	0.034234	0.530805
chr1	1418420	1421769	ENSG00000235098	3349	0.055257	0.665273
chr1	1426128	1427787	ENSG00000205116	1659	0.06152	0.70645
chr1	1434861	1442882	ENSG00000179403	8021	0.053616	0.663508
chr1	1449689	1470158	ENSG00000215915	20469	0.032734	0.56974
chr1	1471769	1497848	ENSG00000160072	26079	0.040916	0.588328
chr1	1512151	1534687	ENSG00000197785	22536	0.042911	0.598731
chr1	1535174	1540453	ENSG00000205090	5279	0.062334	0.660163
chr1	1541673	1574869	ENSG00000160075	33196	0.033981	0.53874
chr1	1598012	1600096	ENSG00000228594	2084	0.089774	0.703455
chr1	1615415	1630610	ENSG00000197530	15195	0.052784	0.6641
chr1	1632095	1701810	ENSG00000189409	69715	0.039676	0.547271
chr1	1659529	1692728	ENSG00000189339	33199	0.035273	0.535167
chr1	1635227	1722818	ENSG00000248333	87591	0.036591	0.535854
chr1	1702730	1724324	ENSG00000008128	21594	0.034039	0.519913
chr1	1724838	1745992	ENSG00000215790	21154	0.034085	0.521745
chr1	1751232	1780457	ENSG00000008130	29225	0.032713	0.537006
chr1	1785285	1891117	ENSG00000078369	105832	0.017633	0.464549
chr1	1914827	1917296	ENSG00000169885	2469	0.028363	0.630215
chr1	1917590	1919273	ENSG00000178821	1683	0.05648	0.674985
chr1	1921951	2003837	ENSG00000142609	81886	0.033547	0.556554
chr1	2019324	2030751	ENSG00000187730	11427	0.042885	0.625273
chr1	2050470	2185395	ENSG00000067606	134925	0.034686	0.563586
chr1	2184461	2212720	ENSG00000162585	28259	0.039422	0.609611
chr1	2228695	2310119	ENSG00000157933	81424	0.034376	0.574831
chr1	2321253	2391707	ENSG00000116151	70454	0.031723	0.572899
chr1	2391775	2405444	ENSG00000157916	13669	0.03285	0.539542
chr1	2403964	2413797	ENSG00000157911	9833	0.043938	0.615275
chr1	2425980	2505530	ENSG00000149527	79550	0.032433	0.646147
chr1	2508533	2526628	ENSG00000157881	18095	0.042279	0.606908
chr1	2528745	2530245	ENSG00000197921	1500	0.096064	0.683333
chr1	2555639	2565382	ENSG00000157873	9743	0.029049	0.640562
