name	bins	geneID	gname	tid	strand	gene_biotype
bins1_ENSG00000186092	bins1	ENSG00000186092	OR4F5	ENST00000335137	+	protein_coding
bins151_ENSG00000278566	bins151	ENSG00000278566	OR4F29	ENST00000426406	-	protein_coding
bins301_ENSG00000273547	bins301	ENSG00000273547	OR4F16	ENST00000332831	-	protein_coding
bins451_ENSG00000187634	bins451	ENSG00000187634	SAMD11	ENST00000622503	+	protein_coding
bins601_ENSG00000188976	bins601	ENSG00000188976	NOC2L	ENST00000327044	-	protein_coding
bins751_ENSG00000187961	bins751	ENSG00000187961	KLHL17	ENST00000338591	+	protein_coding
bins901_ENSG00000187583	bins901	ENSG00000187583	PLEKHN1	ENST00000379410	+	protein_coding
bins1051_ENSG00000187642	bins1051	ENSG00000187642	PERM1	ENST00000341290	-	protein_coding
bins1201_ENSG00000188290	bins1201	ENSG00000188290	HES4	ENST00000428771	-	protein_coding
bins1351_ENSG00000187608	bins1351	ENSG00000187608	ISG15	ENST00000379389	+	protein_coding
bins1501_ENSG00000188157	bins1501	ENSG00000188157	AGRN	ENST00000620552	+	protein_coding
bins1651_ENSG00000237330	bins1651	ENSG00000237330	RNF223	ENST00000453464	-	protein_coding
bins1801_ENSG00000131591	bins1801	ENSG00000131591	C1orf159	ENST00000421241	-	protein_coding
bins1951_ENSG00000162571	bins1951	ENSG00000162571	TTLL10	ENST00000379290	+	protein_coding
bins2101_ENSG00000186891	bins2101	ENSG00000186891	TNFRSF18	ENST00000379268	-	protein_coding
bins2251_ENSG00000186827	bins2251	ENSG00000186827	TNFRSF4	ENST00000379236	-	protein_coding
bins2401_ENSG00000078808	bins2401	ENSG00000078808	SDF4	ENST00000465727	-	protein_coding
bins2551_ENSG00000176022	bins2551	ENSG00000176022	B3GALT6	ENST00000379198	+	protein_coding
bins2701_ENSG00000184163	bins2701	ENSG00000184163	FAM132A	ENST00000330388	-	protein_coding
bins2851_ENSG00000160087	bins2851	ENSG00000160087	UBE2J2	ENST00000450390	-	protein_coding
bins3001_ENSG00000162572	bins3001	ENSG00000162572	SCNN1D	ENST00000379116	+	protein_coding
bins3151_ENSG00000169972	bins3151	ENSG00000169972	PUSL1	ENST00000379031	+	protein_coding
bins3301_ENSG00000131584	bins3301	ENSG00000131584	ACAP3	ENST00000354700	-	protein_coding
bins3451_ENSG00000127054	bins3451	ENSG00000127054	CPSF3L	ENST00000540437	-	protein_coding
bins3601_ENSG00000224051	bins3601	ENSG00000224051	GLTPD1	ENST00000343938	+	protein_coding
bins3751_ENSG00000169962	bins3751	ENSG00000169962	TAS1R3	ENST00000339381	+	protein_coding
bins3901_ENSG00000107404	bins3901	ENSG00000107404	DVL1	ENST00000378888	-	protein_coding
bins4051_ENSG00000162576	bins4051	ENSG00000162576	MXRA8	ENST00000477278	-	protein_coding
bins4201_ENSG00000175756	bins4201	ENSG00000175756	AURKAIP1	ENST00000338338	-	protein_coding
bins4351_ENSG00000221978	bins4351	ENSG00000221978	CCNL2	ENST00000408952	-	protein_coding
bins4501_ENSG00000224870	bins4501	ENSG00000224870	RP4-758J18.2	ENST00000444362	+	processed_transcript
bins4651_ENSG00000242485	bins4651	ENSG00000242485	MRPL20	ENST00000344843	-	protein_coding
bins4801_ENSG00000235098	bins4801	ENSG00000235098	ANKRD65	ENST00000427211	-	protein_coding
bins4951_ENSG00000205116	bins4951	ENSG00000205116	TMEM88B	ENST00000378821	+	protein_coding
bins5101_ENSG00000179403	bins5101	ENSG00000179403	VWA1	ENST00000476993	+	protein_coding
bins5251_ENSG00000215915	bins5251	ENSG00000215915	ATAD3C	ENST00000378785	+	protein_coding
bins5401_ENSG00000160072	bins5401	ENSG00000160072	ATAD3B	ENST00000308647	+	protein_coding
bins5551_ENSG00000197785	bins5551	ENSG00000197785	ATAD3A	ENST00000378756	+	protein_coding
bins5701_ENSG00000205090	bins5701	ENSG00000205090	TMEM240	ENST00000425828	-	protein_coding
bins5851_ENSG00000160075	bins5851	ENSG00000160075	SSU72	ENST00000291386	-	protein_coding
bins6001_ENSG00000228594	bins6001	ENSG00000228594	C1orf233	ENST00000422725	-	protein_coding
bins6151_ENSG00000197530	bins6151	ENSG00000197530	MIB2	ENST00000520777	+	protein_coding
