Index	chr	str	end	name	PeakID	Chr_Homer	Start_Homer	End_Homer	CpG%	GC%
1	chr1	69091	70008	ENSG00000186092	NaN	NaN	NaN	NaN	0.012009	0.428571
2	chr1	450740	451678	ENSG00000278566	NaN	NaN	NaN	NaN	0.008538	0.460554
3	chr1	685716	686654	ENSG00000273547	NaN	NaN	NaN	NaN	0.008538	0.460554
4	chr1	924880	944581	ENSG00000187634	NaN	NaN	NaN	NaN	0.05269	0.659916
5	chr1	944204	959309	ENSG00000188976	NaN	NaN	NaN	NaN	0.030191	0.595432
6	chr1	960587	965715	ENSG00000187961	NaN	NaN	NaN	NaN	0.072362	0.678822
7	chr1	966497	975865	ENSG00000187583	NaN	NaN	NaN	NaN	0.038433	0.626494
8	chr1	975204	982093	ENSG00000187642	NaN	NaN	NaN	NaN	0.053426	0.677602
9	chr1	998962	1000172	ENSG00000188290	NaN	NaN	NaN	NaN	0.128205	0.743802
10	chr1	1001138	1014541	ENSG00000187608	NaN	NaN	NaN	NaN	0.035965	0.564277
11	chr1	1020123	1056118	ENSG00000188157	NaN	NaN	NaN	NaN	0.047147	0.657091
12	chr1	1070966	1074307	ENSG00000237330	NaN	NaN	NaN	NaN	0.042814	0.654594
13	chr1	1081818	1116361	ENSG00000131591	NaN	NaN	NaN	NaN	0.032945	0.546507
14	chr1	1173884	1197935	ENSG00000162571	NaN	NaN	NaN	NaN	0.030187	0.547545
15	chr1	1203508	1206691	ENSG00000186891	NaN	NaN	NaN	NaN	0.045883	0.674835
16	chr1	1211326	1214138	ENSG00000186827	NaN	NaN	NaN	NaN	0.044112	0.704125
17	chr1	1216908	1232031	ENSG00000078808	NaN	NaN	NaN	NaN	0.05039	0.613569
18	chr1	1232265	1235041	ENSG00000176022	NaN	NaN	NaN	NaN	0.09045	0.64013
19	chr1	1242446	1246722	ENSG00000184163	NaN	NaN	NaN	NaN	0.050058	0.693405
20	chr1	1253909	1273885	ENSG00000160087	NaN	NaN	NaN	NaN	0.035645	0.563376
21	chr1	1280436	1292029	ENSG00000162572	NaN	NaN	NaN	NaN	0.051242	0.659277
22	chr1	1292376	1309609	ENSG00000131584	NaN	NaN	NaN	NaN	0.056291	0.672953
23	chr1	1308567	1311677	ENSG00000169972	NaN	NaN	NaN	NaN	0.061435	0.667524
24	chr1	1311585	1324691	ENSG00000127054	NaN	NaN	NaN	NaN	0.036398	0.604532
25	chr1	1324756	1328897	ENSG00000224051	NaN	NaN	NaN	NaN	0.047826	0.652499
26	chr1	1331314	1335306	ENSG00000169962	NaN	NaN	NaN	NaN	0.052117	0.667585
27	chr1	1335276	1349350	ENSG00000107404	NaN	NaN	NaN	NaN	0.046614	0.662498
28	chr1	1352689	1361777	ENSG00000162576	NaN	NaN	NaN	NaN	0.04545	0.653059
29	chr1	1373730	1375495	ENSG00000175756	NaN	NaN	NaN	NaN	0.086168	0.669122
30	chr1	1385711	1399328	ENSG00000221978	NaN	NaN	NaN	NaN	0.029744	0.51377
31	chr1	1399522	1402046	ENSG00000224870	NaN	NaN	NaN	NaN	0.040032	0.593502
32	chr1	1401908	1407313	ENSG00000242485	NaN	NaN	NaN	NaN	0.034234	0.530805
33	chr1	1418420	1421769	ENSG00000235098	NaN	NaN	NaN	NaN	0.055257	0.665273
34	chr1	1426128	1427787	ENSG00000205116	NaN	NaN	NaN	NaN	0.06152	0.70645
35	chr1	1434861	1442882	ENSG00000179403	NaN	NaN	NaN	NaN	0.053616	0.663508
36	chr1	1449689	1470158	ENSG00000215915	NaN	NaN	NaN	NaN	0.032734	0.56974
37	chr1	1471769	1497848	ENSG00000160072	NaN	NaN	NaN	NaN	0.040916	0.588328
38	chr1	1512151	1534687	ENSG00000197785	NaN	NaN	NaN	NaN	0.042911	0.598731
39	chr1	1535174	1540453	ENSG00000205090	NaN	NaN	NaN	NaN	0.062334	0.660163
40	chr1	1541673	1574869	ENSG00000160075	NaN	NaN	NaN	NaN	0.033981	0.53874
41	chr1	1598012	1600096	ENSG00000228594	NaN	NaN	NaN	NaN	0.089774	0.703455
42	chr1	1615415	1630610	ENSG00000197530	NaN	NaN	NaN	NaN	0.052784	0.6641
43	chr1	1632095	1701810	ENSG00000189409	NaN	NaN	NaN	NaN	0.039676	0.547271
44	chr1	1635227	1722818	ENSG00000248333	NaN	NaN	NaN	NaN	0.036591	0.535854
45	chr1	1659529	1692728	ENSG00000189339	NaN	NaN	NaN	NaN	0.035273	0.535167
46	chr1	1702730	1724324	ENSG00000008128	NaN	NaN	NaN	NaN	0.034039	0.519913
47	chr1	1724838	1745992	ENSG00000215790	NaN	NaN	NaN	NaN	0.034085	0.521745
48	chr1	1751232	1780457	ENSG00000008130	NaN	NaN	NaN	NaN	0.032713	0.537006
49	chr1	1785285	1891117	ENSG00000078369	NaN	NaN	NaN	NaN	0.017633	0.464549
50	chr1	1914827	1917296	ENSG00000169885	NaN	NaN	NaN	NaN	0.028363	0.630215
51	chr1	1917590	1919273	ENSG00000178821	NaN	NaN	NaN	NaN	0.05648	0.674985
52	chr1	1921951	2003837	ENSG00000142609	NaN	NaN	NaN	NaN	0.033547	0.556554
53	chr1	2019324	2030751	ENSG00000187730	NaN	NaN	NaN	NaN	0.042885	0.625273
54	chr1	2050470	2185395	ENSG00000067606	NaN	NaN	NaN	NaN	0.034686	0.563586
55	chr1	2184461	2212720	ENSG00000162585	NaN	NaN	NaN	NaN	0.039422	0.609611
56	chr1	2228695	2310119	ENSG00000157933	NaN	NaN	NaN	NaN	0.034376	0.574831
57	chr1	2321253	2391707	ENSG00000116151	NaN	NaN	NaN	NaN	0.031723	0.572899
58	chr1	2391775	2405444	ENSG00000157916	NaN	NaN	NaN	NaN	0.03285	0.539542
59	chr1	2403964	2413797	ENSG00000157911	NaN	NaN	NaN	NaN	0.043938	0.615275
60	chr1	2425980	2505530	ENSG00000149527	NaN	NaN	NaN	NaN	0.032433	0.646147
61	chr1	2508533	2526628	ENSG00000157881	NaN	NaN	NaN	NaN	0.042279	0.606908
62	chr1	2528745	2530245	ENSG00000197921	NaN	NaN	NaN	NaN	0.096064	0.683333
63	chr1	2555639	2565382	ENSG00000157873	NaN	NaN	NaN	NaN	0.029049	0.640562
64	chr1	2586491	2591469	ENSG00000157870	NaN	NaN	NaN	NaN	0.044404	0.645842
65	chr1	2590639	2632990	ENSG00000142606	NaN	NaN	NaN	NaN	0.024699	0.549409
66	chr1	2635976	2801721	ENSG00000215912	NaN	NaN	NaN	NaN	0.023187	0.609685
67	chr1	3021483	3022903	ENSG00000169717	NaN	NaN	NaN	NaN	0.045807	0.614789
68	chr1	3069168	3438621	ENSG00000142611	NaN	NaN	NaN	NaN	0.033386	0.59055
69	chr1	3454426	3481113	ENSG00000130762	NaN	NaN	NaN	NaN	0.034138	0.630794
70	chr1	3489920	3611495	ENSG00000162591	NaN	NaN	NaN	NaN	0.029505	0.626416
71	chr1	3625002	3630127	ENSG00000158109	NaN	NaN	NaN	NaN	0.035519	0.522146
72	chr1	3630767	3652761	ENSG00000116213	NaN	NaN	NaN	NaN	0.044196	0.552514
73	chr1	3652520	3736201	ENSG00000078900	NaN	NaN	NaN	NaN	0.028274	0.595237
74	chr1	3752398	3771645	ENSG00000162592	NaN	NaN	NaN	NaN	0.022134	0.539045
75	chr1	3772788	3775982	ENSG00000235169	NaN	NaN	NaN	NaN	0.036016	0.649029
76	chr1	3778558	3796504	ENSG00000130764	NaN	NaN	NaN	NaN	0.032321	0.547086
77	chr1	3812081	3857214	ENSG00000116198	NaN	NaN	NaN	NaN	0.022113	0.479184
78	chr1	3857267	3885429	ENSG00000169598	NaN	NaN	NaN	NaN	0.025532	0.516654
79	chr1	3889125	3900293	ENSG00000198912	NaN	NaN	NaN	NaN	0.025432	0.493284
80	chr1	4654732	4792534	ENSG00000196581	NaN	NaN	NaN	NaN	0.021404	0.53201
